Country,Production,Year
China,56217601,1961
India,53494500,1961
Indonesia,12084000,1961
Japan,16160400,1961
Korea,4679000,1961
Malaysia,1089080,1961
Myanmar,6834100,1961
Philippines,3910100,1961
SriLanka,923024,1961
Thailand,10150000,1961
VietNam,8997400,1961
China,65675288,1962
India,49825600,1962
Indonesia,13004000,1962
Japan,16927100,1962
Korea,4074000,1962
Malaysia,1125340,1962
Myanmar,7664700,1962
Philippines,3966980,1962
SriLanka,1029190,1962
Thailand,11250000,1962
VietNam,9747040,1962
China,76439280,1963
India,55497000,1963
Indonesia,11595000,1963
Japan,16648800,1963
Korea,5079000,1963
Malaysia,1190210,1963
Myanmar,7782900,1963
Philippines,3842860,1963
SriLanka,1045910,1963
Thailand,12171000,1963
VietNam,9622670,1963
China,85853780,1964
India,58962000,1964
Indonesia,12306000,1964
Japan,16356100,1964
Korea,5344000,1964
Malaysia,1109780,1964
Myanmar,8507700,1964
Philippines,3992400,1964
SriLanka,1074050,1964
Thailand,11600000,1964
VietNam,9697030,1964
China,90705630,1965
India,45883500,1965
Indonesia,12975000,1965
Japan,16126100,1965
Korea,4867000,1965
Malaysia,1255610,1965
Myanmar,8055100,1965
Philippines,4072640,1965
SriLanka,764158,1965
Thailand,11164000,1965
VietNam,9369700,1965
China,98403990,1966
India,45657000,1966
Indonesia,13650000,1966
Japan,16564000,1966
Korea,5448000,1966
Malaysia,1226680,1966
Myanmar,6636400,1966
Philippines,4094020,1966
SriLanka,980746,1966
Thailand,13500000,1966
VietNam,8463500,1966
China,96734816,1967
India,56418300,1967
Indonesia,13222000,1967
Japan,18782000,1967
Korea,5008000,1967
Malaysia,1205070,1967
Myanmar,7769400,1967
Philippines,4560700,1967
SriLanka,1158150,1967
Thailand,11198000,1967
VietNam,9188400,1967
China,97716767,1968
India,59641800,1968
Indonesia,17162800,1968
Japan,18779000,1968
Korea,4442000,1968
Malaysia,1433950,1968
Myanmar,8022900,1968
Philippines,4444660,1968
SriLanka,1359540,1968
Thailand,12410000,1968
VietNam,8366150,1968
China,97998492,1969
India,60644500,1969
Indonesia,18020200,1969
Japan,18200000,1969
Korea,5688000,1969
Malaysia,1590600,1969
Myanmar,7984700,1969
Philippines,5464080,1969
SriLanka,1375960,1969
Thailand,13410000,1969
VietNam,8815000,1969
China,113101869,1970
India,63337800,1970
Indonesia,19331000,1970
Japan,16493000,1970
Korea,5476000,1970
Malaysia,1681420,1970
Myanmar,8161900,1970
Philippines,5578410,1970
SriLanka,1615930,1970
Thailand,13850000,1970
VietNam,10173300,1970
China,118129210,1971
India,64602000,1971
Indonesia,20190000,1971
Japan,14148000,1971
Korea,5557000,1971
Malaysia,1816920,1971
Myanmar,8175000,1971
Philippines,5324880,1971
SriLanka,1395780,1971
Thailand,13744000,1971
VietNam,10447000,1971
China,116428562,1972
India,58868000,1972
Indonesia,19393600,1972
Japan,15450500,1972
Korea,5496000,1972
Malaysia,1837320,1972
Myanmar,7356800,1972
Philippines,4609510,1972
SriLanka,1312450,1972
Thailand,12413000,1972
VietNam,10748200,1972
China,124584090,1973
India,66077000,1973
Indonesia,21489500,1973
Japan,15778000,1973
Korea,5850000,1973
Malaysia,1979940,1973
Myanmar,8601900,1973
Philippines,5158900,1973
SriLanka,1312420,1973
Thailand,14899000,1973
VietNam,11125000,1973
China,127010740,1974
India,59650000,1974
Indonesia,22473000,1974
Japan,15964000,1974
Korea,6174000,1974
Malaysia,2095000,1974
Myanmar,8583400,1974
Philippines,5615270,1974
SriLanka,1602310,1974
Thailand,13386000,1974
VietNam,11023300,1974
China,128726270,1975
India,73352000,1975
Indonesia,22339200,1975
Japan,17097000,1975
Korea,6485000,1975
Malaysia,1997000,1975
Myanmar,9207700,1975
Philippines,6112040,1975
SriLanka,1154160,1975
Thailand,15300000,1975
VietNam,10293600,1975
China,129231900,1976
India,63051900,1976
Indonesia,23300900,1976
Japan,15288000,1976
Korea,7249000,1976
Malaysia,1995000,1976
Myanmar,9319300,1976
Philippines,6542610,1976
SriLanka,1252620,1976
Thailand,15068000,1976
VietNam,11827200,1976
China,131917520,1977
India,79005600,1977
Indonesia,23347100,1977
Japan,17006000,1977
Korea,8348000,1977
Malaysia,1898000,1977
Myanmar,9462000,1977
Philippines,7254390,1977
SriLanka,1677290,1977
Thailand,13921000,1977
VietNam,10597100,1977
China,140023850,1978
India,80608500,1978
Indonesia,25771600,1978
Japan,15736000,1978
Korea,8532000,1978
Malaysia,1498000,1978
Myanmar,10528300,1978
Philippines,7211620,1978
SriLanka,1890490,1978
Thailand,17470000,1978
VietNam,9789900,1978
China,146846140,1979
India,63475700,1979
Indonesia,26282700,1979
Japan,14948000,1979
Korea,7880940,1979
Malaysia,2095000,1979
Myanmar,10447900,1979
Philippines,7684800,1979
SriLanka,1917220,1979
Thailand,15758000,1979
VietNam,11362900,1979
China,142876520,1980
India,80312000,1980
Indonesia,29651900,1980
Japan,12189000,1980
Korea,5311410,1980
Malaysia,2044600,1980
Myanmar,13317400,1980
Philippines,7646490,1980
SriLanka,2133200,1980
Thailand,17368100,1980
VietNam,11647400,1980
China,146959840,1981
India,79883000,1981
Indonesia,32774200,1981
Japan,12824000,1981
Korea,7148700,1981
Malaysia,2019900,1981
Myanmar,14146600,1981
Philippines,7910740,1981
SriLanka,2229350,1981
Thailand,17774300,1981
VietNam,12415200,1981
China,164741380,1982
India,70771700,1982
Indonesia,33583700,1982
Japan,12838000,1982
Korea,7307860,1982
Malaysia,1883600,1982
Myanmar,14373400,1982
Philippines,8533730,1982
SriLanka,2155630,1982
Thailand,16878500,1982
VietNam,14390200,1982
China,172008862,1983
India,90048000,1983
Indonesia,35303000,1983
Japan,12958000,1983
Korea,7607540,1983
Malaysia,1734330,1983
Myanmar,14288100,1983
Philippines,7294910,1983
SriLanka,2483530,1983
Thailand,19548900,1983
VietNam,14743300,1983
China,181095744,1984
India,87552800,1984
Indonesia,38136400,1984
Japan,14848000,1984
Korea,7970330,1984
Malaysia,1571670,1984
Myanmar,14255500,1984
Philippines,7828880,1984
SriLanka,2419700,1984
Thailand,19904800,1984
VietNam,15505600,1984
China,171318865,1985
India,95817700,1985
Indonesia,39032900,1985
Japan,14578000,1985
Korea,7855260,1985
Malaysia,1745370,1985
Myanmar,14317000,1985
Philippines,8805600,1985
SriLanka,2661210,1985
Thailand,20263900,1985
VietNam,15874800,1985
China,174720521,1986
India,90779400,1986
Indonesia,39726800,1986
Japan,14559000,1986
Korea,7871370,1986
Malaysia,1718220,1986
Myanmar,14127100,1986
Philippines,9246790,1986
SriLanka,2588180,1986
Thailand,18868200,1986
VietNam,16002900,1986
VietNam,15102600,1987
Thailand,18428300,1987
SriLanka,2127830,1987
Philippines,8539850,1987
Myanmar,13638400,1987
Malaysia,1626700,1987
Korea,7595760,1987
Japan,13284000,1987
Indonesia,40078200,1987
India,85338700,1987
China,176662485,1987
China,171441923,1988
India,106369000,1988
Indonesia,41676200,1988
Japan,12419000,1988
Korea,8260160,1988
Malaysia,1696240,1988
Myanmar,13167100,1988
Philippines,8970920,1988
SriLanka,2476610,1988
Thailand,21262900,1988
VietNam,17000000,1988
China,182485243,1989
India,110311000,1989
Indonesia,44725600,1989
Japan,12934000,1989
Korea,8099950,1989
Malaysia,1743440,1989
Myanmar,13806500,1989
Philippines,9458770,1989
SriLanka,2063440,1989
Thailand,20601000,1989
VietNam,18996300,1989
China,191614672,1990
India,111517000,1990
Indonesia,45178800,1990
Japan,13124000,1990
Korea,7721970,1990
Malaysia,1884980,1990
Myanmar,13971800,1990
Philippines,9885000,1990
SriLanka,2538000,1990
Thailand,17193200,1990
VietNam,19225100,1990
China,185692640,1991
India,112042000,1991
Indonesia,44688200,1991
Japan,12005000,1991
Korea,7292530,1991
Malaysia,1926350,1991
Myanmar,13204200,1991
Philippines,9673260,1991
SriLanka,2389000,1991
Thailand,20400000,1991
VietNam,19621900,1991
China,188291880,1992
India,109001000,1992
Indonesia,48240000,1992
Japan,13216000,1992
Korea,7303000,1992
Malaysia,2012730,1992
Myanmar,14840400,1992
Philippines,9513000,1992
SriLanka,2339700,1992
Thailand,19917000,1992
VietNam,21590300,1992
China,179746930,1993
India,120400000,1993
Indonesia,48181100,1993
Japan,9793000,1993
Korea,6507000,1993
Malaysia,2104450,1993
Myanmar,16763200,1993
Philippines,9434210,1993
SriLanka,2570000,1993
Thailand,19530000,1993
VietNam,22836600,1993
China,177994400,1994
India,122640000,1994
Indonesia,46641500,1994
Japan,14976000,1994
Korea,6882000,1994
Malaysia,2138790,1994
Myanmar,18198900,1994
Philippines,10540600,1994
SriLanka,2683690,1994
Thailand,21111000,1994
VietNam,23528300,1994
China,187297970,1995
India,115440000,1995
Indonesia,49744100,1995
Japan,13435000,1995
Korea,6387300,1995
Malaysia,2127270,1995
Myanmar,17956900,1995
Philippines,10540600,1995
SriLanka,2809890,1995
Thailand,22015500,1995
VietNam,24963700,1995
China,197032900,1996
India,122500000,1996
Indonesia,51101500,1996
Japan,12930000,1996
Korea,7121420,1996
Malaysia,2228490,1996
Myanmar,17679800,1996
Philippines,11283600,1996
SriLanka,2061520,1996
Thailand,22331600,1996
VietNam,26396700,1996
China,202771840,1997
India,123700000,1997
Indonesia,49377100,1997
Japan,12531000,1997
Korea,7312100,1997
Malaysia,2119620,1997
Myanmar,16651400,1997
Philippines,11268000,1997
SriLanka,2239370,1997
Thailand,23580000,1997
VietNam,27523900,1997
China,200571160,1998
India,129055000,1998
Indonesia,49236700,1998
Japan,11200000,1998
Korea,6779290,1998
Malaysia,1944240,1998
Myanmar,17077700,1998
Philippines,8554000,1998
SriLanka,2692340,1998
Thailand,23450000,1998
VietNam,29145500,1998
China,200403300,1999
India,134496000,1999
Indonesia,50866400,1999
Japan,11468800,1999
Korea,7032760,1999
Malaysia,2036640,1999
Myanmar,20126000,1999
Philippines,11786600,1999
SriLanka,2857100,1999
Thailand,24172000,1999
VietNam,31393800,1999
China,189814060,2000
India,127465000,2000
Indonesia,51898000,2000
Japan,11863000,2000
Korea,7196580,2000
Malaysia,2140800,2000
Myanmar,21323900,2000
Philippines,12389400,2000
SriLanka,2859900,2000
Thailand,25843900,2000
VietNam,32529500,2000
China,179304900,2001
India,139900000,2001
Indonesia,50460800,2001
Japan,11320000,2001
Korea,7406520,2001
Malaysia,2095000,2001
Myanmar,21916000,2001
Philippines,12954900,2001
SriLanka,2695080,2001
Thailand,28033700,2001
VietNam,32108400,2001
China,176342190,2002
India,107730000,2002
Indonesia,51489700,2002
Japan,11111000,2002
Korea,6687230,2002
Malaysia,2197350,2002
Myanmar,21805000,2002
Philippines,13270700,2002
SriLanka,2859480,2002
Thailand,27991800,2002
VietNam,34447200,2002
China,162304280,2003
India,132789000,2003
Indonesia,52137600,2003
Japan,9740000,2003
Korea,6015000,2003
Malaysia,2257000,2003
Myanmar,23146300,2003
Philippines,13499900,2003
SriLanka,3071200,2003
Thailand,29473500,2003
VietNam,34568800,2003
China,180522610,2004
India,124697000,2004
Indonesia,54088500,2004
Japan,10912000,2004
Korea,6736930,2004
Malaysia,2264000,2004
Myanmar,24939000,2004
Philippines,14496800,2004
SriLanka,2628000,2004
Thailand,28538200,2004
VietNam,36148900,2004
China,182055140,2005
India,137690000,2005
Indonesia,54151100,2005
Japan,11342000,2005
Korea,6435000,2005
Malaysia,2314000,2005
Myanmar,27683000,2005
Philippines,14603000,2005
SriLanka,3246000,2005
Thailand,30291900,2005
VietNam,35832900,2005
China,183276050,2006
India,139137000,2006
Indonesia,54454900,2006
Japan,10695000,2006
Korea,6410950,2006
Malaysia,2187000,2006
Myanmar,30924000,2006
Philippines,15326700,2006
SriLanka,3342000,2006
Thailand,29641900,2006
VietNam,35849500,2006
China,187397460,2007
India,144570000,2007
Indonesia,57157400,2007
Japan,10893000,2007
Korea,6038000,2007
Malaysia,2375000,2007
Myanmar,31451000,2007
Philippines,16240200,2007
SriLanka,3131000,2007
Thailand,32099400,2007
VietNam,35942700,2007
China,193284180,2008
India,148770000,2008
Indonesia,60251100,2008
Japan,11028800,2008
Korea,6919250,2008
Malaysia,2353000,2008
Myanmar,32573000,2008
Philippines,16815500,2008
SriLanka,3875000,2008
Thailand,31650600,2008
VietNam,38729800,2008
China,196681170,2009
India,133700000,2009
Indonesia,64398900,2009
Japan,10590000,2009
Korea,7022970,2009
Malaysia,2460000,2009
Myanmar,32682000,2009
Philippines,16266400,2009
SriLanka,3652000,2009
Thailand,32116100,2009
VietNam,38950200,2009
China,197212010,2010
India,120620000,2010
Indonesia,66411500,2010
Japan,10600000,2010
Korea,5804000,2010
Malaysia,2548000,2010
Myanmar,33204500,2010
Philippines,15771700,2010
SriLanka,4300620,2010
Thailand,31597200,2010
VietNam,39988900,2010
